Commet,label
የሌባ የፅፈኛ የመጨረሻ አማራጩ ስደት ሞት ነዉ ምክንያት የአርሶ አደር ገንዘብ ዘርፈዋል አግቷል ገለዋል ሴት እህቶችን ደፋሯል የአርሶ አደር መሳሪያ ገፎል ተቋም አዉድሟል የሀይማኖት አባት ህፃን ገለዋል አግተዋል ይህ ሁሉ ተግባር የተከናወነዉ ለአማራ እታገላለዉ የሚለዉ የተደራጀ አሸባራ እና ፅፈኛ ብድን ነዉ በዉጭም በዉስጥም ያለ የአማራ ሰላም ፈላጊ ህዝብ የመንግስት ያለህ እያለ ይገኛል ።,ስላቅ አይደለም
የሀላባ ቀይ ዛላ በርበሬ,ስላቅ አይደለም
wow jawer mohamed በጣም ነው ማደንቅህ ድንቅ የፖለቲካ ኣቅም ነው ያለህ ጋዜጠኛውንም ሳላደንቀው ኣላልፍም በጣም ጎበዝ ነው ይችላል ኣይገልፀውም,ስላቅ አይደለም
ለሰላማዊ ጥሪ ተገዥ መሆን ብዙ አይነት ጥቅም አለው አንዱ የራስን ህይወት ማቆየት ሌላው ደግሞ የወሀውን የአማራ ህዝብ ከመከራ ማውጣት ስለሆነ እጂ ስጡ የቀራችሁት ሌቦችም,ስላቅ አይደለም
ካዝሚር በጣም የሚገርም መድሃኒት የሆነ ፍራፍሬ ነው,ስላቅ አይደለም
ማቼስ ለብር ብላ አይደላም 😂,ስላቅ
በጣም የሚገርም ነው!,ስላቅ አይደለም
ዶር አብይ ሰርፕራይዝ በቃን ግልጽነት ይጎልሀል ይህ ሁሉ ውዥንብር የተነሳው በአንተ ውትፍትፍ ሥራ ነው። በፕሪቶሪያው ስምምነት መሰረት ወያኔን ትጥቅ በህዝብ ፊ,ስላቅ
ሚድያ ኣገኘው ብለህ የመንደር ወሬ ኣታውራ ውሸት ጥሩ ኣይደለም ሻዕቢያ ማለት ህዝብ ማለት ነው ቱልቱላ ወሬ ብቻ,ስላቅ
አያወግዙም ደደብ ያንተ ብቻ ናቸው የሞቱት ደሞ ለአረብ ምን ስለሆኑ,ስላቅ
በኪሱ ደብቆ*ት ይሆናል,ስላቅ
አለምዬ ባይሳካልህም ስላቅ አይደለምeutral ለመሆን ብትሞክር ጥሩ ነው በዚህ ተራ የህፃናት ማታለያ የሚሸወድ የለም እስራኤል ከካርቶን የተሰራ ነብር ናት ድንጋይ ወረወራችሁ ብሎ በሺዎች የሚቆጠሩ የ5 ዓመት ህፃናትን የሚያስር አውሬ ሶስት ቡድኖች በጋራ ያደረጉትን ልምምድ እያየ ችላ ብሎ አልፎታል ማለት ራስን ማታለል በቃ ከዚህ በኋላ የእስራኤል አቅም በሚገባ ታይቷል የስለላ ድርጅቷም ተፈትኖ ወድቋል አገር ሆና የመቀጠል ህልውናዋ ራሱ ጥያቄ ዉስጥ ገብ,ስላቅ አይደለም
እኔ ፊልሚ ነው ወይስ እውነተኛ ታሪክ ነው እያልሁ በጣም ግራ ገብቶኝ ነበር ለካ ፕራንክ ነው ይመቻቺሁ,ስላቅ
ዛሬ ገና መልካም ዜና ከወደ አሜርካ ተሰማ ሰውን ልጅ ከመልካም ስብዕና እንዲጣላ ያደረገ በህይወት ዘመኔ ቅሌትን ያስወደደ ብቻኛ ማህበራዊ ሚዲያነው ብል ምንም ስህተት የለውም ባይነኝ🙄,ስላቅ አይደለም
እናት እናት ናት።። የእግዚአብሔር ውድ ስጦታ,ስላቅ አይደለም
የ አማራ ዋንኛ ጠላት መሳይ መሆኑን አንዘነጋውም በለው ገደልንማረክን እያላችሁ እናንተ ዳር ሆናችሁ አስፈጃችሁት በርቱ።,ስላቅ አይደለም
በግልፁ የግድያ ፈቃድ በፓርላማ፡፡,ስላቅ
አንድ ቡዱን አይደለም ጥፋተኛ፤ፈደረሸኑ ነው። አንድ ምንችላት ሀግር ጂቡት ነበር እሱዋም አቃተችው፤ወይነ ገንዝበ,ስላቅ
በጣም ጥሩ ነዉ መረዳዳዳት ሌሎቹም ማሳያ ነዉና በርታ ጎበዝ ...,ስላቅ አይደለም
ኩዋስ መዳ ፈርሶ ለእርሻ ነዉ መሆን ያለበት ህዝቡ በራብ በጠኔ እያለቀ ምንም ለዉጥ ለማናመጣዉ ነገር ስንት መሰረተ ልማት መስራት የሚችለዉን ገንዘብ ኢያባከንን ነዉ ኤረ ወገን እንንቃ በቃን በቃን በቃን,ስላቅ
ቤተ ክርስቲያኗን እየተፎካከራቹ ቀኖናዋን ከምጨምሩ ከምቀንሱ ይኼ የእኛ እምነት ነው ብላቹ ለምን አታመልኩም በፈጣሪ እንዴ በቃ ተዋህዶ አይማኖታችንን ለአማኙ ተውለት ቀኖናዋን ጠብቃ ዘላለም ትኑር አትፎካከሯት እናተ የተዋህዶ ጠላት ናቸው ከሚባሉት በይበልጥ መሳይ ገዳይ ናቹ,ስላቅ አይደለም
ወንድማችን አስፋው መሸሻ ሞት በጣም አዛንኩኝነፍስ በአጸደገነት ያኑርልን መልካም አስፋችን በጣም ስበዛው መልካም ደግ ጋዜጠኛችን ትልቅ ሰው አጠን,ስላቅ አይደለም
አጥንቶቹ በብረት ነው እንዴ የተገጠመው,ስላቅ
እኔ በግል በጣም አፍሬ አፌን ይዤ ተቀምጫለሁ።,ስላቅ
ሀገራችንን በየአመቱ የምያስደፍሯት አሸባሪዎች ከተባሉ የሀገራችን ብሔራዊ ቡድኖች ናቸዉ ለዚያዉም የሀገርቷን በጄት ብቻቸዉን እየበሉ,ስላቅ
የጆርሽ ደስ ይላል ራስሽ ተንከባከቢ ወፈርሽ ትንሽ,ስላቅ
በጨዋታው 30 ደቂቃ ድረስ ምንም ጎል አይገባም ብዬ የኔዋ ኢትዮጵያ እንደ ሐይለኛ 1.27 odd የተሰጣት 29ነኛው ደቂቃ ላይ ገብቶባት አስነጨችኝ እኮ,ስላቅ
"የክርስቶስን ኢየሱስ ፍቅር የሚያውቅ የትም ብሄድ ምርኮ ማርኮ መመለሱ ኣይቀርም! ኣይቀርም! ምንም እኳ ""ብላክመይል"" ቢደረግም መምጣቱ ኣይቀርም ""ሄጃለውም ኣላለም"" እናም ቢልም በእላማ ነው ኣናም ለግዜ እንትወው!!!",ስላቅ አይደለም
አይ ኢትዮጵያ ለመሆኑ የአደይ አበባ ስታዲየም ግንባታ በተጠናቀቀና በኢትዮጵያ ሕዝብ ፊት ብቃትሽን ባሳየበት።,ስላቅ
እኔም የገረመኝ ይሄ ነው በአጭሩ እሷም እሱም አንድ ናቸው የበፊቱ ባሏ ቢቀርብ እና ማንነቷን ቢናገር ጥሩ ነበር,ስላቅ አይደለም
ያ አላህ 😭😭😭 የናት ፍቅር 😭😭,ስላቅ አይደለም
አሳፋሪ ፣ በአየር ሁኔታ ላይ ተወቃሽ?,ስላቅ አይደለም
የ ህዘብ ለ ህዝብ ግንኙነቱን የሚያጠናክር ዉጤት ነወ,ስላቅ
ነገር ፍለጋ ማታረጉት ጥረት የለም 😌,ስላቅ አይደለም
ስንት ቁጥር ምስማር ነው?,ስላቅ
ይመሥለኛል የባለሥልጣን ጓደኞችን ኑሮ ገምግማቹ መሆንአለበት,ስላቅ
ከጁቡቲጋ እንዲህ የተልፈሰፈሰ ቡድን ቀጣይ ከግብፅጋ ሲገጥም ውጤቱ ለመገመት ኣያዳግትም,ስላቅ
ማፈሪያዎች ከትንሿ ጅቡቲ ከ6በላይ ጎል የሚገባባትን ወዮ ሞራለቢሶች !,ስላቅ
ክብር ከንታባ አዳነች ስራዎትን ሳላደንቅ አላልፍም ነገር ግን የኔ ወንድሞች ዜጋ እንደመሁናቸዉ መጠን በቀበሌ ቤት ጥገኛ ነበሩ አፍርሰዉ በምትኩ ሌላ ቤት ሳይ,ስላቅ
ወይኔ ከለውጡ ወዲህ ነው ሰው ብረታብረት መመገብ የጀመረው??ምናልባት ከህመሙ ሲያገግም ህንፃ መሳሪያ እንዲከፍት መንግስት አስፈላጊውን እገዛ ያድርግለት።,ስላቅ
አያልቅም ስጪው,ስላቅ
ሉዓላዊነታችንን ጠብቀን መኖራችን ያኮራናል። የግዛት ሉዓላዊነት ብቻውን እንደማይቆም ግን ተረድተናል። ሉዓላዊነት ሁለንተናዊ መሆን አለበት። የምግብ ሉዓላዊነት፣ የቴክኖሎጂ ሉዓላዊነት ፣ የበጀት ሉዓላዊነት፣ ታላቁን የሀገር ሉዓላዊነት በጽናት… URL,ስላቅ አይደለም
እግር ኳስ ለእኛ አይሆንም በቃ በእጅ ኳስ እንሞክር😜,ስላቅ
ለነሱ የተመደባው በጀት እስከሚያለቅ ድረስ እዛ ይቆዩ ኢትዮጵያ ውስጥ በጀት ለምሰራው ዘርፍ ሳይሆን ለምወድቃው በብዛት ይበጀታል ምን ችግር አለ ዪዝናኑበት ዋይ የጅብት አቻ እሽ አዉን ማንን አሸንፎ ነው ኢትዮጵያዊያን ሊያስደሰቱ የምችሉት?,ስላቅ አይደለም
ከጁቡቲ ጋር አቻ?,ስላቅ
ሲጀመር ይህ ቡድን ኢትዮጵያዊ የሚመስል ስብስብ አይደለም ፣ከሱማሌ ከጋምቤላ ከአሶሳ ከወላይታ እና ሲዳማ አካባቢ ተወላጅ የሆኑ ተጫዋቾች በዚህ ብሔራዊ ቡዱን ውስጥ አሉ?ሁሌ የተለመደ አካሃድ እየሃድን እንዴት የተለየ ውጤት እንጠብቃለን? ቢያስ ቢያንስ ከተክለ ሰውነት አንኳያ በረኛችን ከጋምቤላ ወይም ከሱማሌ መሆን የለበትም? ተገቢውን ስልጠና ሰጥተን ማዘጋጀት አንችልም? ከለቦቻችን ከሁሉም አካባቢ የተውጣጡ ተጫዋቾ እንዲይዙ የሚያስገድድ ህግ ቢወጣ ለብሔራዊ ተጫዋች ምርጫ አሰልጣኙ የሚፈልገውን ተጫዋች ለመምረጥ አይቸገርም ብቃትን መሰረት ያደረገ የታዳጊዎች ምልመላ ከሁሉም ክልል ማከናወን ክለቦች የተጫዋቾች ስብጥርና አቅም እንዲያጎለብቱ አስቻይ ሁኔታን መፍጠር ትኩረት ሊሰጠው የሚገባ ጉዳይ ነው,ስላቅ አይደለም
ሁለቱም አያልፉም ቀልደኞች,ስላቅ
ቀላል ትፎግራላችሁ ምድረ አጭበርባሪ ሁላ።,ስላቅ
ጤና ክለብን እንኳ የማያሸንፍ ብሔራዊ ቡድን ነው እኮ,ስላቅ
በማዕከላዊ ኢትዮጵያ ክልል በርበሬ የሚመረትበት ድንቅ ስፍረ ሀለባ ። ውበት፣ ፍቅርና ሀብት በጋራ የሚገኙበት ምድር ሀለባ ።,ስላቅ አይደለም
የጂቡቲን ቡድን የደቡብ ኦሞው ያንጋቶም ቡድን ቢገጥመው አሳምሮ ያሸንፈዋል,ስላቅ
"ብቻህን 1,000,000 ተከፋይ አክቲቪስቶች አልቻሉህም ። 🔥🔥",ስላቅ አይደለም
ምን አይነት ደንቆሮ ነህ ባክህ መሬት ላይ ያለው ጉዳይ ሌላ,ስላቅ
በእናንተ ደሞዝ ስንት ስራ አጥ ይቀነስበት ነበር,ስላቅ አይደለም
አቶ ጲላጦስ፡ ተመልሰህ ታርቀህ ሌላ የዘር ፍጅት ማነቃቅያ እንደማትጽፍ ወይም አንድን ህዝብና አከባቢ የሚያጠቃ የጋራ ፍረጃ/ mob justice/ ጽህፎችን እንደማትለጥፍ ምን ማረጋገጫ አለ? ሾርት ሞሞሪያሞችን ሳላካትት ማለቴ ነው። ከይርሳዕ ከይድገም። ለመረጃ ያክልና መቸም እንደማንረሳው ላስታውስህ ብየ ነው።,ስላቅ
"አሁን ይህን የጅቡቲ ክለብ መሸነፍ ያቃተው ስብስብ የት ልደርስ ነው ቆይ ፣ከዚህ በፊት በጅቡቲ ላይ ዝቅተኛ 3 ለ1,እንጂ፣ከፍተኛ ወጤት ነበረን 6 ለ 0 5 ለ 0 አይ ዘንድሮ",ስላቅ አይደለም
እኔን አይወክሉኝ ምን ጨነቀኝ፥ እንጀራ ለመብላት አቻ በቂ ነው ። ሶማሊያ ላንድ ጋር ተጫወቱማ,ስላቅ
ሲጀመር እውነተኛ ኦርቶዶክሳዊ የሆነ ክርስቲያን አምላኩ ምን አሳጣውና ስደት ይወጣል?ሲቀጥል ይህ ወንድማችን ዴማስን ያስታውሰን ካልሆነ በስተቀር እውቅናን ያስገኘችለት ቅዲስቲቱ ኦርቶዶክሳዊ ቤ/ክን ላይ ተረከዙን ያነሳባት ይሁዳ ቢሆንም ለርሱም ሆነ ለእናንተም ፈጣሪ ወደ እውነት የምትመለከቱበትን ተንሰሀ እድሜ ያድላችሁ።ዲ. ዳንኤል ክብረትን ላለፉት ፴ ምናምን ዓመታት ለምናውቀው የተዋህዶ ልጆች እንደ አዲስ ልታስተዋውቀን መዳዳትህን ሳስበው ግራሞትን ቢጭርብኝም #ፖለቲካዋን_ግን_ተዋት አትጠቅምህም።,ስላቅ አይደለም
ቢዘጋ ደስታውን አልችለውም ችግሩ እሱን የሚተካ ሌላ የሱ ን ተመሳሳይ የቻይና አፕሊኬሽን መጥቷል ማለታቸው ነው,ስላቅ አይደለም
እና ምን ጠብቀችው ነበር,ስላቅ
ኢሱ እባክህ ፀረ ድሮን መሣሪያ ለአማራ ፋኖ ላክ መሰልጠን ከአስፈለገ ታውቃለህ ኢሱ የአማራን ሕዝብ ከአብይ የድሮን ጭፍጨፋ አድን አደራ,ስላቅ አይደለም
ጎሉ ላይ ቂጥ ማለት ፆታ አልጠቀስኩም እሱን ቢያዩ እኮ እንኳን ጎሉ ላይ እዛላይም ያገባሉ ኢትዮጵያ እነከረች ነው,ስላቅ
በፍፁም አላምንምየበሬ ወለደ ሚድያ አዋጭነት የለውም።,ስላቅ
በኬንያ አንዲት መምህር ያለማቋረጥ ከሁለት ቀን በላይ አስተማረች,ስላቅ አይደለም
ለምን ከፈለግ ገዳል አያገባም እንድሁም በጣም ደስ ይለን,ስላቅ
ነፍስ ነው የሚያሱጠው እዴት ገባ,ስላቅ አይደለም
ታላላቅ ምድያ ዉሸት ስዘገብ ትንሽ ለነገ ዋስትና ይኖረዉ ይሁን እንጃ የሚመሳሰል ውሸት ዋሹ ይህ የእትዮጽያ ፖለትካ አዪደልም ሆነ ብሎ የሚናገር,ስላቅ አይደለም
እንደ ኢትዮጵያ ላሉ ድሃ አገሮች ላይ አይሆንም አይሰራም መንግስት የወሰደው እርምጃ ነው አደገኛ ቁማር ነው,ስላቅ
አሁን ፕራንክ ዘጋኛ ብያስ ሚስትህ ፈት እንዲህ ቆሻሻሻ ነገር ይደብራል የሆንክ🦡🦡🦡,ስላቅ
ማስረጃው ያኔ ህውሀቶች ወታደሮቻችንን ሲያጠቁ የአማራ ልዩ ሀይል ፋኖና ሽፍታዎች ጭምር ወደ ጦርነቱ መግባትና አሁን ያለው ችግር ነው። እርግጥ ነው የኤርትራ,ስላቅ አይደለም
ሰርቦዎች እኮ ዩጎዝላቪያ ወይም ሞት ብለው ሌላው እንዳለ እየተገነጠለ ሲሄድ ብቻቸውን የቀሩት ናቸው፣ መጨረሻ እንኳን ዩጎዝላቪያን ሊያተርፉ የተባበሩት መንግስታት ራሱ በዩጎዝላቪያ ስም,ስላቅ አይደለም
በጣም ግፍ መስራት ጥሩ አይደለም እስራኢል ፍሊስጤንንን በቀን በቀን እያሰቃየች መውጫ መግቢያ አሳጥታቸው ነበር ጎርፉ ሁኖ መጣ,ስላቅ አይደለም
ገብቶ ሰበከቸው እንጂ አልተሰበከም! አልገባችሁም,ስላቅ
የሀላበ ዘላው በርበሬ,ስላቅ አይደለም
ኣይታይም እኮ ግሪኮች እሡን በመፈለግ እደተሠቃዩ ያልቃል የሚገርምሽ ኣጠገባቸዉ ነዉ እኮ ሂላልን እኳን ማግኘት ኣልቻሉም ሀሊ ቲክባልን ማለቴነዉ ቱርኮች ደደብ ናቸዉ ይላል ፍሊፖሥ ግን ተሣሥቷል,ስላቅ አይደለም
ውይይት ለኢትዮጵያ በኢትዮጵያ,ስላቅ አይደለም
አበረታች ነው። መንግስት ሊመሰገን ይገባዋል።,ስላቅ
መሳይን ዋና አሰልጣኝ አድርጉት ጊዜ ስጡትና ያሳያችኋል።,ስላቅ
የሀላባ በርበሬ 🌶🌶,ስላቅ አይደለም
ይህ ሰውየ መግለጫ የሚሰጠው የሌላ ሀገር ነው እንዴ።,ስላቅ
ከጻፋችሁ ሙሉ መረጃ ጻፉ፤ ይህ ታካሚ ይሄ ሁሉ ምስማር በሆዱ እያሌ እንደት በሕይወት መቆየት እንደቻለ፤ አሊያም ዶክተሩን ስቱዲዮ በመጋበዝ ዜና ብትሰሩ ተዓማኒነት ልኖረው ይችላል። ይሄ የማህበራዊ ሚዲያ ዜና ልሆን አይችልም። ለማንኛውም ሰው በእውቀቱ ብቻ በማይመዘንበት ሀገር እንዲህ አይነት ዝርክርክ ተግባር አይጠፋም👌‼ፋናዎች አዳዲስ በሙያው ላይ እውቀት ያላቸውን አርታኢያንን ብትጋብዙ መልካም ነው‼,ስላቅ አይደለም
ምግቡ ብረታ ብረት ነዉ እንዴ,ስላቅ
ተመልሰው ሀገራችን አንዳይመጡ በዛው አረብ ሀገር ሂደው ግመል ይጠብቁ,ስላቅ
ሆድም ብረት ማምረት ጀመረ 😄,ስላቅ
ታሪኩ አሳዛኝና አስተማሪ ቢሆንም እናት በሞባይል የጻፈችለት ልክ አይመስለኝም ምክንያቱም በኖረበት ዕድሜ ሁሉ እሷን በማሰብ ልጎዳ ነው። ለምስቱም ለልጆቹም ጤኔኝነትን የሚያሳይ አይመስለኝም። ዘገምተኛ ሊሆንም ይችላል።,ስላቅ አይደለም
አገር አሰዳቢ,ስላቅ
የሃይሌና የቀነኒሳ ልጆች ይግቡና ይጫወቱ,ስላቅ
በተደጋጋሚ ንፁሀን ሲጨፈጨፉ ግልፅ የሆነ የህግ ጥሰት ሲደረግ በተወካዮች ምክር ቤት ሳይቀር ግጭት ቀስቃሽ ንግግር ሲደረግ እና ሰዎች ህይወታቸውን ሲያጡ በቅርቡም በግልፅ በጠቅላይሚ,ስላቅ አይደለም
የግለሰብ ጦር መሳሪያ እየሰበሰብክ የፅንፈኛው ቡድን እያልክ አትቀደድ።አትቀደዱ።እስኪ የፅንፈኛው ከሆነ ስናይፐር፣ጥቁር ክላሽ፣ብሬንና ድሽቃ አንዳንድ አሳየኝ።ከየአንዳንዱ የጦር መሳሪያ አይነት።ምድረ ፈሳም የፖሊስና አርማ በታኝን ትጥቅ ሰብስባቹ ሾው አትስሩ።ውሸት በቃን።,ስላቅ አይደለም
ልመክራቹ::: ከኖርዌይ አሰልጣኝ ግዙና ሞክሩ:: እግር ኳስ ከእርግጫና ከስሜታዊነት ይላቀቅ:: እግር ኳስ ሳይንስ መሆኑን ዕወቍ::,ስላቅ አይደለም
አረ ውሸታም መንግስት ትናንት ወያኔ የሚጠቀምበት ዘይቤ አሁንምያው ያሳዝናል ይሕች አገር,ስላቅ አይደለም
እነዝህን ትተን ሉሲዎቹ ላይ ኢንቨስት ብናደርግ አያሳፍሩንም።,ስላቅ አይደለም
የኔ ጥያቄ እንዴት ውጦ ነው ወይ ይህን ሁሉ?😳🤔,ስላቅ አይደለም
እና ማንን ሊያሸንፉ ነው?,ስላቅ
ለብልፅግና እረፈት ነው።,ስላቅ
ለዚህ ተራ ሰው በእውነት እንኳን ደስ አለሽ ኢትዮጵያ ይባላል ? በጣም ያሳዝናል የዚህን እምነት ነቢያት ከጊዜ ወደ ጊዜ የሚሉት ነገር እንኳን ለሰው ቀርቶ ለሰይጣንም ይከብዳል እያየነው አሳፋሪ የሆነ የሰዎች መጫዎቻ ሆነ ገና ብዙ እና ያለን,ስላቅ
ገና ኣቻቸውን አገኙ,ስላቅ
😭😭😭😭😭ወይኔ በስማም እናትነት በቃ በቃላት አይገለፅም እናት መሆን እድለኝነት ነው,ስላቅ አይደለም
ኢትዮጵያ የሚያምርባት ጦርነት ብቻ ነው,ስላቅ
Dr.Getaስላቅ አይደለምeh እና ቲሙ ያደረገውን ቀዶ ጥገና በጣም አድንቀናል,ስላቅ
እንዴ እርሶ ደግሞ! ማነው እርድ ጥሩ ስም አይደለም ያለው ማነው?!,ስላቅ
"‎""ዛላ በርበሬ ምርት የሀላባ ህዝብ ግዙፉና ወርቃማው ምርት/ብራንድ ነው!!""።‎",ስላቅ አይደለም
“ንቦች ለቀረቧቸው እንደ ሰው ናቸው” ታምራት ጌታቸው,ስላቅ
? ለመላው የክርስትና ዕምነት ተከታዮች እንኳን ለብርሃነ ትንሳሄ በሰላም አደረሳቹ! በዓሉ የሰላም እና የፍቅር እንዲሆንሎት ወዬ የጭነት ትራንስፖርት ይመኛል፡፡ መልካም ዓ,ስላቅ አይደለም
ይች ጠጋ ጠጋ እቃ ለማንሳት ነው አሉ!,ስላቅ
ወጭ ብቻ,ስላቅ
በዚህ በሀኪሞች መገደል በዚያ የወንድ ዘር ፈሳሽ ልገሳ እየገደሉ ህይወት መስጠት መሆኑ ነው ? ይገርማል ወይ ጉድ,ስላቅ
ጭራሽ ጁቢቲን ኑ ከትግራይ ጋር ግጠሙ,ስላቅ
የት ሀገር????,ስላቅ
በዚህ ሁሉ መከራ እያለፈች አመስጋኝ መሆኗ የኔ ጠንካራ መጨረሻሽን ያሳምረዉ,ስላቅ አይደለም
ፈጣሪ ሆይ ግብረሰዶማዊነትም ይጀምራል ? ቂቂቂቂቂ ወፍራም ወንዶች ተጠንቀቁ ቂቂቂቂቂ,ስላቅ
አሳፋሪ ፣ ይህ ምን አይነት ቡድን ነው። እኔ እንደማስበው እኛ ኢትዮጵያውያን እግር ኳሱን አቁመን እንደ አትሌቲክስ ያሉ ሊጠቅመን የሚችል ነገር ላይ መስራት አለብን።,ስላቅ
አንተ እናትህን ምን ያህል እንደምትወዳት ታውቅ የለ ያን የእናት ፍቅር ማጣት ያን እንስፍስፍ ተፈጥሮ አለማግኘት ምን ማለት እንደሆነ አይገባህም ለምን እናትህ ሁሉ ነገራቸውን ሰተውሃል እና አለም እናማ ልጅቷን ተዋት,ስላቅ አይደለም
በዚህ ሁነታማ ሱማሊላንድንም አታሸንፍማ,ስላቅ
እስክንድር እና ዘመነ ለውጥ ማምጣት ስላልቻሉ ፣ ጁዋር የፋኖ መሪ መሆን አለበት።,ስላቅ
ብሔራዊ ቡድኑ የአንድ ሀገር ተወካይ ለመሆን ብቁ አቋም እስኪኖረው እራሱን ቢያገል ጥሩ ነው።,ስላቅ አይደለም
ያሁሉ የለፋችሁለት የኢትዮጵያ የሚመስለው መንግስት ? ኦሮሙማ ተረኛ ኬኛ ስግብግብ መንግስት ለአንድ,ስላቅ አይደለም
ስሙኝማ ውዶቸ አንድ ፍቅረኛ ነበረኝ እና በጣም ብዙ ጊዜ ይሰድበኛል እንጨቃጨቃለን ከዛም ይቅርታ ይጠይቀኛል እና እኔም ስለምወደው ይቅርታ አደርግለታለሁ አንድ ቀን ግን አስመሳይ ነሽ አለኝ እመብርሀንን እያሰመሰልኩ አልነበረም እንዲያውም እንድንጋባ ጠይቆኝ ነበር እና እሽ ብየው ነበር ግን ስልክም መደወል ቀነሰ ግን ሁሌም እንደሚወደኝ ይነግረኛል ሲስተሮቹ ጋርም አስተዋውቆኛል እና ምን ይሻለኛል እባካችሁ ንገሩኝ ላስቸግሬችሁ እና ለላይክ ብየም,ስላቅ አይደለም
እነዚህ እህትማማማቾች ወንድማቸዉን የመግደል ወንጀል መፈፀማቸዉ ከተረጋገጠባቸዉ የእስራት ቅጣት ብቻ በቂ አይደለም። በስቅላት ሞት መቀጣት አለባቸ።,ስላቅ አይደለም
እኔ የቀልዴነው ሰርዘኝ አተ ንፍጥ ጭቅላት ማዳም ስጮህብኝ ነው ለመደበሪያ የምመጣው ሆ,ስላቅ
ብሔራዊ ቡድን አለ ለማለት ይከበዳል,ስላቅ
ከአዲስአበባ ወደ ቡታጄራ በሚወስደው መንገድ ያለ ኬለ የመከላከያ ስራዊት አስገድዶ የውሃ እያሉ በነ አንዳንድ ኪሎሜትር የሚቀፍሉትስ?,ስላቅ
ከፎከርን ከተብለጨለጭን መች አነሰ።,ስላቅ
በምድር ላይ ሰው ቢፈለግ እንደ አብይ አህመድ አይነት አረመኔ የሆነ ሰው አይኖርም የእርሱኮ ሲደርስብህ ቀርቶ ስታስበው ይዘገንናል,ስላቅ አይደለም
